rate_date,base_currency,quote_currency,exchange_rate
2025-03-18,CZK,SEK,0.4392124
2025-03-18,CZK,PLN,0.16674655
2025-03-18,CZK,RON,0.19879383
2025-03-18,CZK,DKK,0.29793913
2025-03-19,NOK,EUR,0.08691873
2025-03-19,NOK,SEK,0.95632334
2025-03-19,NOK,PLN,0.3640591
2025-03-19,NOK,RON,0.4326206
2025-03-19,NOK,DKK,0.6483442
2025-03-19,NOK,CZK,2.17244676
2025-03-19,EUR,NOK,11.505
2025-03-19,EUR,SEK,11.0025
2025-03-19,EUR,PLN,4.1885
2025-03-19,EUR,RON,4.9773
2025-03-19,EUR,DKK,7.4592
2025-03-19,EUR,CZK,24.994
2025-03-19,SEK,NOK,1.04567144
2025-03-19,SEK,EUR,0.09088843
2025-03-19,SEK,PLN,0.38068621
2025-03-19,SEK,RON,0.452379
2025-03-19,SEK,DKK,0.67795501
2025-03-19,SEK,CZK,2.27166553
2025-03-19,PLN,NOK,2.74680673
2025-03-19,PLN,EUR,0.23874896
2025-03-19,PLN,SEK,2.62683538
2025-03-19,PLN,RON,1.18832518
2025-03-19,PLN,DKK,1.78087621
2025-03-19,PLN,CZK,5.96729139
2025-03-19,RON,NOK,2.31149418
2025-03-19,RON,EUR,0.20091214
2025-03-19,RON,SEK,2.21053583
2025-03-19,RON,PLN,0.8415205
2025-03-19,RON,DKK,1.49864384
2025-03-19,RON,CZK,5.02159806
2025-03-19,DKK,NOK,1.5423906
2025-03-19,DKK,EUR,0.13406263
2025-03-19,DKK,SEK,1.47502413
2025-03-19,DKK,PLN,0.56152134
2025-03-19,DKK,RON,0.66726995
2025-03-19,DKK,CZK,3.35076148
2025-03-19,CZK,NOK,0.46031047
2025-03-19,CZK,EUR,0.0400096
2025-03-19,CZK,SEK,0.44020565
2025-03-19,CZK,PLN,0.16758022
2025-03-19,CZK,RON,0.19913979
2025-03-19,CZK,DKK,0.29843963
2025-03-20,NOK,EUR,0.08693762
2025-03-20,NOK,SEK,0.9588785
2025-03-20,NOK,PLN,0.36516409
2025-03-20,NOK,RON,0.43267985
2025-03-20,NOK,DKK,0.6485025
2025-03-20,NOK,CZK,2.17457075
2025-03-20,EUR,NOK,11.5025
2025-03-20,EUR,SEK,11.0295
2025-03-20,EUR,PLN,4.2003
2025-03-20,EUR,RON,4.9769
2025-03-20,EUR,DKK,7.4594
2025-03-20,EUR,CZK,25.013
2025-03-20,SEK,NOK,1.04288499
2025-03-20,SEK,EUR,0.09066594
2025-03-20,SEK,PLN,0.38082415
2025-03-20,SEK,RON,0.45123532
2025-03-20,SEK,DKK,0.67631352
2025-03-20,SEK,CZK,2.26782719
2025-03-20,PLN,NOK,2.73849487
2025-03-20,PLN,EUR,0.23807823
2025-03-20,PLN,SEK,2.62588387
2025-03-20,PLN,RON,1.18489156
2025-03-20,PLN,DKK,1.77592077
2025-03-20,PLN,CZK,5.95505083
2025-03-20,RON,NOK,2.31117764
2025-03-20,RON,EUR,0.20092829
2025-03-20,RON,SEK,2.21613856
2025-03-20,RON,PLN,0.84395909
2025-03-20,RON,DKK,1.49880448
2025-03-20,RON,CZK,5.02581929
2025-03-20,DKK,NOK,1.5420141
2025-03-20,DKK,EUR,0.13405904
2025-03-20,DKK,SEK,1.47860418
2025-03-20,DKK,PLN,0.56308818
2025-03-20,DKK,RON,0.66719843
2025-03-20,DKK,CZK,3.35321876
2025-03-20,CZK,NOK,0.45986087
2025-03-20,CZK,EUR,0.03997921
2025-03-20,CZK,SEK,0.44095071
2025-03-20,CZK,PLN,0.16792468
2025-03-20,CZK,RON,0.19897253
2025-03-20,CZK,DKK,0.29822093
2025-03-21,NOK,EUR,0.0877116
2025-03-21,NOK,SEK,0.95895097
2025-03-21,NOK,PLN,0.36859047
2025-03-21,NOK,RON,0.43654065
2025-03-21,NOK,DKK,0.65429348
2025-03-21,NOK,CZK,2.19112359
2025-03-21,EUR,NOK,11.401
2025-03-21,EUR,SEK,10.933
2025-03-21,EUR,PLN,4.2023
2025-03-21,EUR,RON,4.977
2025-03-21,EUR,DKK,7.4596
2025-03-21,EUR,CZK,24.981
2025-03-21,SEK,NOK,1.04280618
2025-03-21,SEK,EUR,0.0914662
2025-03-21,SEK,PLN,0.38436843
2025-03-21,SEK,RON,0.45522729
2025-03-21,SEK,DKK,0.68230129
2025-03-21,SEK,CZK,2.28491722
2025-03-21,PLN,NOK,2.7130381
2025-03-21,PLN,EUR,0.23796492
2025-03-21,PLN,SEK,2.60167051
2025-03-21,PLN,RON,1.18435143
2025-03-21,PLN,DKK,1.77512315
2025-03-21,PLN,CZK,5.94460177
2025-03-21,RON,NOK,2.29073739
2025-03-21,RON,EUR,0.20092425
2025-03-21,RON,SEK,2.19670484
